close,open,high,low,volume,high_low_ratio,close_open_ratio,sma_5,sma_10,sma_20,close_sma5_ratio,close_sma10_ratio,rsi_14,rsi_7,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_position,volume_sma_10,volume_ratio,atr_14,volatility_10,momentum_5,momentum_10,roc_5,roc_10,stoch_k,stoch_d,williams_r,cci,price_trend_pct,volume_trend,recent_volatility,gap_pct,ticker,event_type,target_return,event_date,sma_20_isnan,rsi_14_isnan,rsi_7_isnan,macd_isnan,macd_signal_isnan,macd_histogram_isnan,bb_upper_isnan,bb_middle_isnan,bb_lower_isnan,stoch_k_isnan,stoch_d_isnan,williams_r_isnan,cci_isnan,atr_14_isnan,volume_ratio_isnan,close_sma20_ratio,short_ratio,short_percent_float,shares_short,shares_short_prior,short_interest_change,days_to_cover,squeeze_potential,put_call_ratio,options_stock_volume_ratio,unusual_call_activity,unusual_put_activity,gamma_exposure_proxy,intraday_spread,price_impact,liquidity_proxy,buying_pressure,selling_pressure,net_order_flow,momentum_sentiment,trend_strength,fear_greed_proxy
17.25,17.03,20.66,16.59,1095067.0,1.245328511151296,1.012918379330593,4.9206,4.1313,19.92265,3.505670040238995,4.175441144433955,50.05264531908843,56.79891708689868,-6.705187219194263,-5.281742305682215,-1.4234449135120482,95.20199891927535,19.922650000000004,-55.35669891927535,0.4822484516778567,1789165.7,0.6120545458701785,11.795608384171556,7.845026720435121,880.1136363636364,263.15789473684214,880.1136363636364,263.15789473684214,28.058804606783703,28.48646600708624,-68.87266421860986,36.897576597931966,880.1136363636364,2.4522048624246557,11.05779963732004,2441.791044776119,AMSC,moon,20.29,2024-05-30 00:00:00+00:00,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.8658486697301815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2359420289855072,0.0695582706766918,1095067.0,0.1621621621621622,0.8378378378378378,-0.6756756756756757,0.0,0.0,1.0
1.84,1.91,1.915,1.835,111163.0,1.0435967302452316,0.9633507853403144,2.0,2.529,10.915,0.92,0.7275603005140372,45.48601510983508,41.59552667956894,-2.7743483618581912,-2.194103703110174,-0.580244658748017,61.19754866253302,10.915000000000004,-39.36754866253301,0.4097599441417928,502267.4,0.14782501200768547,4.402963937914127,0.2665574800151146,-44.07294832826748,-42.85714285714286,-44.07294832826748,-42.85714285714286,16.037735849056556,18.833916451296407,-78.8235294117647,-64.59713986745724,-44.07294832826747,-0.737246170246461,0.3278051881811976,0.5263157894736847,HARD_NEG_ALMOST_RUG_0065,negative,-3.0647057448354724,2024-07-31 00:00:00+00:00,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.1685753550160329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,0.0315789473684209,1913131.3405797172,0.0625000000000013,0.9374999999999988,-0.8749999999999973,0.0,0.0,1.0
3.95,3.67,4.13,3.59,161385.0,1.15041782729805,1.076294277929155,10.774,15.4275,14.936249999999998,0.3666233525153147,0.2560362988170475,43.74854614565444,38.70039225239368,-0.5815715630803933,1.2748058425292947,-1.856377405609688,34.56007502852083,14.936249999999996,-4.687575028520834,0.2200787821937664,378304.0,0.4266013576383015,6.575787454252867,0.5941672469010807,-64.44644464446445,-87.46031746031746,-64.44644464446445,-87.46031746031746,33.31469838007148,54.857158716575725,-98.9687768547694,-94.83462968807044,-64.44644464446444,-0.6013777704226431,0.7310127276157428,-2.9100529100529067,AISP,moon,31.39,2024-06-17 00:00:00+00:00,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.2644572767595615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1367088607594936,0.0449735449735451,908466.5673864456,0.6666666666666672,0.3333333333333327,0.3333333333333344,0.0,0.0,1.0
7.8,7.64,7.8,7.42,158070.0,1.0512129380053907,1.0209424083769634,6.698,34.235499999999995,29.7574,1.164526724395342,0.2278336814125688,45.17594108556057,40.17788941714291,-4.590298537226104,1.153412273987911,-5.743710811214015,131.48377795458956,29.7574,-71.96897795458956,0.3920761731544116,198121.4,0.7978441501019072,15.809449035954382,0.766249348705893,294.9367088607595,-94.65753424657537,294.9367088607595,-94.65753424657537,94.5721580955995,83.26737504182417,-96.08157129317952,-44.45657810934581,294.93670886075944,-0.1649806392993169,0.9187576686834448,0.1310615989515044,ANGO,rug,-21.79,2024-10-02 00:00:00+00:00,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.2621196744339223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487179487179487,0.0222804718217561,909558.1447963816,1.0,0.0,1.0,0.0,0.0,1.0
0.3501,0.3451,0.36,0.3201,272301.0,1.1246485473289596,1.0144885540423063,4.458019999999999,18.66401,10.596505,0.0785326221057779,0.0187580268120302,42.99800057510935,34.74371838658502,-0.8391720436968253,1.130862933538164,-1.9700349772349892,40.2797898778888,10.596505000000002,-19.086779877888787,0.327404462778434,929439.6,0.2929733142422595,6.42054209360763,4.920614453005033,-94.165,-80.97282608695652,-94.165,-80.97282608695652,1.5914078371088216,2.369271609118417,-99.9328406824282,-60.72129723312791,-94.165,-0.7168533507470136,0.4697613044165674,-61.65555555555555,ARQQ,moon,22.79,2024-07-10 00:00:00+00:00,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.033039195470582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1139674378748928,0.0695582706766918,272301.0,0.7518796992481211,0.2481203007518788,0.5037593984962423,0.0,0.0,1.0
2.01,1.68,2.04,1.68,704247.0,1.2142857142857144,1.1964285714285714,36.192,20.412,12.652,0.0555371352785145,0.0984714873603762,45.58117498458088,41.71431440758545,5.032248385278287,3.118962164065125,1.9132862212131616,61.82014277558184,12.652,-36.51614277558184,0.3917795202416605,729689.7,0.9651321650833224,12.215610881053877,5.578239098422786,-57.14285714285715,-58.8957055214724,-57.14285714285715,-58.8957055214724,32.72264590433176,61.89966943865804,-99.60127130887028,-48.03640862795549,-57.14285714285715,1.5667129533452149,7.937244575556323,-0.5917159763313614,APPS,moon,22.89,2024-07-11 00:00:00+00:00,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.158868163136263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1791044776119403,0.1893491124260353,1850400.233208957,0.916666666666666,0.083333333333334,0.8333333333333319,0.0,0.0,1.0
4.1,3.51,4.77,3.39,932212.0,1.4070796460176989,1.168091168091168,22.318,16.898,10.996095,0.1837082175822206,0.2426322641732749,45.38325758365684,40.81198518874438,1.3642249905532733,1.4701300377635846,-0.1059050472103113,46.15691653121426,10.996094999999992,-24.164726531214274,0.701934956299614,371777.2,2.507448009183995,8.6807844252946,12.103548269242957,-92.19642177388656,319.5661072451903,-92.19642177388656,319.5661072451903,86.78056201791719,88.16443098189353,-25.064079775905668,-33.94403916965331,-92.19642177388656,0.2357785224934778,0.4456030640547495,-2.5000000000000084,HARD_NEG_FAILED_BREAKOUT_0032,negative,-1.9924437224217568,2024-08-08 00:00:00+00:00,0,0.0,0.0,0,0,0,0,0,0,77.67453568044043,90.0091133731548,-13.311660938112883,0,0,0.0,0.3728596378987267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3365853658536584,0.1388888888888888,1637055.2195121958,0.5144927536231882,0.4855072463768117,0.0289855072463764,0.0,0.0,1.0
4.98,5.04,5.08,4.9,204075.0,1.036734693877551,0.988095238095238,5.1240000000000006,5.158,4.558,0.9718969555035128,0.9654905001938736,46.45073216120773,49.23438226035171,-1.876351572876608,-2.6499998911433336,0.7736483182667255,6.642270615827056,4.5580000000000025,2.473729384172949,0.6012344550644028,2586595.2,0.0788971540656999,2.649814437884103,0.2017820357087468,-24.88687782805429,57.59493670886076,-24.88687782805429,57.59493670886076,15.333837238599088,20.574342267556105,-53.11004784688995,10.955568279792844,-24.88687782805429,-0.9255773566988036,0.2180468393130871,27.27272727272728,APLT,moon,30.52,2024-07-30 00:00:00+00:00,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,1.092584466871435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0361445783132529,0.0695582706766918,204075.0,0.4444444444444455,0.5555555555555545,-0.1111111111111089,0.0,0.0,1.0
2.27,2.31,2.35,2.255,110637.0,1.042128603104213,0.9826839826839828,4.81424,6.55912,11.298655,0.4715178304363721,0.3460830111356401,45.48024114057028,30.75393358961604,-1.3636343217732438,0.0452936984333407,-0.6385280162117883,40.63942548923208,11.511,-19.65455718808256,0.5,620123.1,0.1784113509075859,6.26369797251195,0.6854208633075789,-75.10964912280701,-75.3528773072747,-75.10964912280701,-75.3528773072747,5.185654122629731,28.337760515546066,-84.47762504297951,-38.54607330556171,-75.10964912280701,-0.8105498381821606,1.000784413443413,184.76331360946747,ABOS,moon,24.23,2024-07-09 00:00:00+00:00,1,1.0,0.0,1,1,1,1,1,1,0.0,0.0,1.0,1,1,0.0,0.2009088692415159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418502202643172,0.0695582706766918,110637.0,0.1578947368421062,0.8421052631578938,-0.6842105263157876,0.0,0.0,1.0
152.6,150.79,154.8,150.5,301135.0,1.0285714285714287,1.0120034485045428,98.082,54.9683,31.77665,1.5558410309740829,2.776145523874669,77.36562346087517,92.2167331450565,23.31471516189149,6.122670233929147,17.192044927962343,133.75807597997934,31.776650000000007,-70.20477597997932,1.092379194735518,399548.4,0.7536884142196539,16.239115872284557,7.848601081917517,708.6910439851616,3792.857142857143,708.6910439851616,3792.857142857143,98.61442895455076,90.71125059463488,-1.426969331185972,160.5131729316911,708.6910439851615,1.4201935286837155,2.4068054170203244,0.32601463739187,ANF,moon,23.09,2024-05-28 00:00:00+00:00,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,4.802268332250253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0281782437745741,0.0153027278775781,128954.89913955244,0.4883720930232532,0.5116279069767468,-0.0232558139534935,0.0,0.0,1.0
