close,open,high,low,volume,high_low_ratio,close_open_ratio,sma_5,sma_10,sma_20,close_sma5_ratio,close_sma10_ratio,close_sma20_ratio,rsi_14,rsi_7,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_position,volume_sma_10,volume_ratio,atr_14,volatility_10,momentum_5,momentum_10,roc_5,roc_10,stoch_k,stoch_d,williams_r,cci,price_trend_pct,volume_trend,recent_volatility,gap_pct,ticker,event_type,target_return,event_date
9.21,9.03,9.44,9.03,435242.0,1.045404208194906,1.0199335548172759,8.592000000000002,8.441999999999998,,1.0719273743016757,1.0909737029140016,,,62.646135623334345,,,,9.667129759610345,8.592000000000002,7.516870240389659,0.787407168518886,1041875.2,0.4177486900542407,,0.47375098944487715,0.8500000000000014,0.7000000000000011,10.167464114832558,8.225616921269108,83.5795108205673,72.90280245118903,,,8.225616921269108,0.8235062617899316,5.898086757038986,-0.11061946902654633,AAOI,moon,30.84,2024-07-11 00:00:00+00:00
9.41,9.24,9.53,9.09,327759.0,1.0484048404840483,1.0183982683982684,8.940000000000001,8.530999999999999,,1.052572706935123,1.103035986402532,,,64.29141488997836,,,,9.6657547795226,8.940000000000001,8.214245220477402,0.8238008300194483,999027.5,0.3280780559093719,,0.5648687163108488,1.7400000000000002,0.8900000000000006,22.68578878748371,10.446009389671374,92.23184029388703,85.95499907577958,,,10.446009389671369,0.43340835400589234,5.901709784845384,0.32573289902279434,AAOI,moon,28.06,2024-07-12 00:00:00+00:00
6.97,7.45,7.61,6.7,682139.0,1.135820895522388,0.9355704697986577,8.165999999999999,8.554,,0.8535390644134216,0.8148234743979424,,,21.851365022125268,,,,9.85495707464697,8.165999999999999,6.477042925353027,0.1459353473355773,659775.5,1.0338956205557799,,0.8706472687987177,-1.2000000000000002,-2.8999999999999995,-14.68788249694003,-29.381965552178315,13.354478497378382,31.302720607865393,,,-29.381965552178315,1.136315024953857,8.294853433647964,-3.994845360824737,AAOI,moon,23.1,2024-08-05 00:00:00+00:00
6.85,7.6,8.69,6.85,1425627.0,1.2686131386861315,0.9013157894736842,7.505999999999998,8.082999999999998,,0.9126032507327474,0.8474576271186441,,,31.132410833015143,,,,8.631458128941318,7.505999999999998,6.380541871058678,0.20856312503732372,791687.6,1.8007443845274322,,0.8309973926954687,-2.700000000000001,-2.3200000000000003,-28.272251308900533,-25.29989094874592,12.985685071574629,13.771713846530533,,,-25.29989094874591,2.3025699915690323,9.117922268491652,0.6622516556291367,AAOI,moon,25.26,2024-08-07 00:00:00+00:00
9.17,9.65,9.675,9.145,342279.0,1.0579551667577913,0.9502590673575129,9.314,8.882000000000001,,0.9845394030491733,1.0324251294753433,,,64.06641732768897,,,,9.924390039237192,9.314,8.703609960762808,0.3820426360659835,534624.4,0.640223304435787,,0.5265780516167038,0.5999999999999996,1.1500000000000004,7.001166861143515,14.33915211970076,79.95169082125601,84.72456278320784,,,14.339152119700755,0.6279945324612181,3.7530791356755646,0.3118503118503237,AAOI,moon,23.34,2024-08-27 00:00:00+00:00
9.12,9.13,9.27,8.56,583990.0,1.0829439252336448,0.9989047097480831,9.348,8.974,,0.9756097560975608,1.0162692221974592,,,61.63466646429383,,,,9.88842945885655,9.348,8.807570541143452,0.28905665090647686,534504.4,1.0925822126066689,,0.4716919898973623,0.16999999999999993,0.9199999999999999,1.8994413407821265,11.219512195121961,61.55169082125598,75.43989813878586,,,11.219512195121952,0.9979493839607649,3.7878359293069273,-0.43620501635767883,AAOI,moon,24.01,2024-08-28 00:00:00+00:00
10.35,9.04,10.585,9.04,1175415.0,1.170907079646018,1.1449115044247788,9.598,9.157,,1.0783496561783703,1.1302828437261112,,,76.9382851233385,,,,10.490224187074048,9.598,8.705775812925953,0.9214187481658065,610368.4,1.925746811270046,,0.6105380141044996,1.25,1.83,13.736263736263732,21.478873239436624,62.272750044730664,67.9253772290809,,,21.47887323943662,2.820262731689761,5.425180163848863,-0.8771929824561412,AAOI,moon,25.6,2024-08-29 00:00:00+00:00
1.09,1.06,1.105,1.05,176556.0,1.0523809523809524,1.028301886792453,1.04,1.092,,1.0480769230769231,0.9981684981684982,,,33.75912408759126,,,,1.093665631459997,1.04,0.9863343685400031,0.9658474953124385,97569.2,1.8095464552338238,,0.07983315935958774,0.06000000000000005,-0.16999999999999993,5.825242718446599,-13.492063492063489,21.66666666666669,15.777777777777795,,,-13.492063492063485,2.49923560387294,4.061542999227393,4.950495049504955,ABAT,moon,22.94,2024-06-25 00:00:00+00:00
0.8112,0.89,0.89,0.8,116130.0,1.1125,0.9114606741573034,0.9092800000000002,0.9666399999999999,,0.8921344360373041,0.8391955640155592,,,3.1794489838275,,,,1.0535350740875309,0.9092800000000002,0.7650249259124694,0.16004662012621002,226674.2,0.5123212081480821,,0.0815363613501498,-0.20879999999999999,-0.2388,-20.47058823529412,-22.742857142857144,5.540198735320694,11.654416082498988,,,-22.742857142857144,5.760988193273143,3.5845656192680235,2.2870934375359186,ABAT,moon,20.17,2024-09-25 00:00:00+00:00
2.27,2.31,2.35,2.255,110637.0,1.042128603104213,0.9826839826839827,2.2920000000000003,2.2924999999999995,,0.9904013961605583,0.9901853871319523,,,50.64139941690961,,,,2.3286606055595924,2.2920000000000003,2.255339394440408,0.19995040092506067,497779.5,0.22226106137355997,,0.08935727291173454,-0.11499999999999977,0.029999999999999805,-4.821802935010478,1.3392857142856984,24.615384615384556,27.90339290339286,,,1.3392857142857053,0.9167343353827287,3.9842033116304916,0.0,ABOS,moon,24.23,2024-07-09 00:00:00+00:00
