ticker,start_date,end_date,days,return_pct,start_price,end_price,avg_volume,start_volume
TSLA,2024-10-22,2024-10-25,3,22.78,217.5,267.05,25048642,8105425
COIN,2024-10-10,2024-10-14,2,21.04,165.0,199.71,3445300,1655854
LCID,2024-08-20,2024-08-22,2,20.19,3.22,3.87,6300024,2140116
SOXL,2024-08-07,2024-08-08,1,26.07,25.39,32.01,14299414,14378744
SOXL,2024-08-12,2024-08-15,3,27.42,31.29,39.87,8094292,7288361
SOXL,2024-09-06,2024-09-11,3,23.55,25.82,31.9,8888885,13263767
