close,open,high,low,volume,high_low_ratio,close_open_ratio,sma_5,sma_10,sma_20,close_sma5_ratio,close_sma10_ratio,rsi_14,rsi_7,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_position,volume_sma_10,volume_ratio,atr_14,volatility_10,momentum_5,momentum_10,roc_5,roc_10,stoch_k,stoch_d,williams_r,cci,price_trend_pct,volume_trend,recent_volatility,gap_pct,ticker,event_type,target_return,event_date,sma_20_isnan,rsi_14_isnan,rsi_7_isnan,macd_isnan,macd_signal_isnan,macd_histogram_isnan,bb_upper_isnan,bb_middle_isnan,bb_lower_isnan,stoch_k_isnan,stoch_d_isnan,williams_r_isnan,cci_isnan,atr_14_isnan,volume_ratio_isnan,close_sma20_ratio
9.21,9.03,9.44,9.03,435242.0,1.045404208194906,1.0199335548172759,10.304500000000026,12.933085000000004,15.173944999999998,0.8937842690086834,0.7121270756358594,46.73044107219213,44.069123881723215,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,700240.4,1.0,10.824756711180074,1.9883812385145943,10.3009412700517,7.826086956521738,10.3009412700517,7.826086956521738,40.57215592560167,40.948668015095926,-89.29027082413162,-37.435415844636424,0.0,0.0,0.8035676730283929,0.0,AAOI,moon,30.84,2024-07-11 00:00:00+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.6069614724450367
9.41,9.24,9.53,9.09,327759.0,1.0484048404840483,1.0183982683982684,10.304500000000026,12.933085000000004,15.173944999999998,0.9131932650783615,0.7275912900904925,46.73044107219213,44.069123881723215,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,700240.4,1.0,10.824756711180074,1.9883812385145943,10.3009412700517,7.826086956521738,10.3009412700517,7.826086956521738,40.57215592560167,40.948668015095926,-89.29027082413162,-37.435415844636424,0.0,0.0,0.8035676730283929,0.32573289902279434,AAOI,moon,28.06,2024-07-12 00:00:00+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.6201419604460147
6.97,7.45,7.61,6.7,682139.0,1.135820895522388,0.9355704697986577,10.304500000000026,12.933085000000004,15.173944999999998,0.6764035130282869,0.5389278737439673,46.73044107219213,44.069123881723215,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,700240.4,1.0,10.824756711180074,1.9883812385145943,10.3009412700517,7.826086956521738,10.3009412700517,7.826086956521738,40.57215592560167,40.948668015095926,-89.29027082413162,-37.435415844636424,0.0,0.0,0.8035676730283929,-20.828905419766205,AAOI,moon,23.1,2024-08-05 00:00:00+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.45934000683408305
6.85,7.6,8.69,6.85,1425627.0,1.2686131386861315,0.9013157894736842,8.11,12.933085000000004,15.173944999999998,0.8446362515413071,0.5296493450711874,46.73044107219213,44.069123881723215,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,700240.4,1.0,10.824756711180074,1.9883812385145943,10.3009412700517,7.826086956521738,10.3009412700517,7.826086956521738,40.57215592560167,40.948668015095926,-89.29027082413162,-37.435415844636424,0.0,0.0,0.15225436311713839,9.03873744619799,AAOI,moon,25.26,2024-08-07 00:00:00+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.45143171403349625
9.17,9.65,9.675,9.145,342279.0,1.0579551667577913,0.9502590673575129,8.322,12.933085000000004,15.173944999999998,1.1018985820716174,0.7090342327449326,46.73044107219213,44.069123881723215,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,700240.4,1.0,10.824756711180074,1.9883812385145943,10.3009412700517,7.826086956521738,10.3009412700517,7.826086956521738,40.57215592560167,40.948668015095926,-89.29027082413162,-37.435415844636424,0.0,0.0,0.2455964265068644,40.875912408759135,AAOI,moon,23.34,2024-08-27 00:00:00+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.6043253748448411
9.12,9.13,9.27,8.56,583990.0,1.0829439252336448,0.9989047097480831,8.303999999999998,12.933085000000004,15.173944999999998,1.0982658959537572,0.7051681791312743,46.73044107219213,44.069123881723215,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,700240.4,1.0,10.824756711180074,0.2130207755150321,-0.9771986970684265,7.826086956521738,-0.9771986970684265,7.826086956521738,40.57215592560167,40.948668015095926,-89.29027082413162,-37.435415844636424,-0.9771986970684216,0.341759297126656,0.2130207755150321,-0.43620501635767883,AAOI,moon,24.01,2024-08-28 00:00:00+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.6010302528445964
10.35,9.04,10.585,9.04,1175415.0,1.170907079646018,1.1449115044247788,8.492,12.933085000000004,15.173944999999998,1.2187941592086668,0.8002730980272685,46.73044107219213,44.069123881723215,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,700240.4,1.0,10.824756711180074,0.196646023162387,9.989373007438896,7.826086956521738,9.989373007438896,7.826086956521738,40.57215592560167,40.948668015095926,-89.29027082413162,-37.435415844636424,9.98937300743889,2.5862173121104224,0.21972631184241834,-0.8771929824561412,AAOI,moon,25.6,2024-08-29 00:00:00+00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.6820902540506112
1.09,1.06,1.105,1.05,176556.0,1.0523809523809524,1.028301886792453,7.316,7.77125,15.173944999999998,0.1489885183160197,0.14026057584043752,46.73044107219213,24.00768245838668,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,700240.4,1.0,10.824756711180074,0.3947716707991205,-84.36154949784792,7.826086956521738,-84.36154949784792,7.826086956521738,40.57215592560167,40.948668015095926,-89.29027082413162,-37.435415844636424,-84.36154949784792,-0.7411729867373072,0.4728358988373338,-89.75845410628018,ABAT,moon,22.94,2024-06-25 00:00:00+00:00,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.07183365960533007
0.8112,0.89,0.89,0.8,116130.0,1.1125,0.9114606741573034,6.1082399999999994,6.997911111111112,15.173944999999998,0.132804212015245,0.11592030637714111,46.73044107219213,23.51795099068062,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,643625.875,0.18043090638641587,10.824756711180074,0.36975535598656345,-88.15766423357664,7.826086956521738,-88.15766423357664,7.826086956521738,31.49502064661044,58.72456029283185,-89.29027082413162,-37.435415844636424,-88.15766423357664,-0.9185411050716632,0.4758386746293851,-18.348623853211013,ABAT,moon,20.17,2024-09-25 00:00:00+00:00,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0.05346005933196674
2.27,2.31,2.35,2.255,110637.0,1.042128603104213,0.9826839826839827,4.7282399999999996,6.525119999999999,15.173944999999998,0.48009407305889723,0.347886322397136,46.73044107219213,31.987257223271865,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,585015.2222222222,0.18911815589983696,10.824756711180074,0.7261529892435913,-75.2453653217012,7.826086956521738,-75.2453653217012,7.826086956521738,5.185654122629721,31.750795905902482,-89.29027082413162,-37.435415844636424,-75.2453653217012,-0.6767636927769451,0.9996551954537636,184.76331360946747,ABOS,moon,24.23,2024-07-09 00:00:00+00:00,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0.14959853881110025
2.62,2.35,2.65,2.35,197141.0,1.127659574468085,1.1148936170212767,3.42824,5.8661200000000004,15.173944999999998,0.7642405432525144,0.4466325271218454,46.73044107219213,34.03200929760396,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,537577.4,0.3667211456433994,10.824756711180074,0.6848734998409185,-71.2719298245614,-71.5526601520087,-71.2719298245614,-71.5526601520087,11.245784363822176,15.975486377687446,-89.29027082413162,-37.435415844636424,-71.2719298245614,-0.6624240141098307,0.9957730252080681,3.524229074889871,ABOS,moon,20.61,2024-07-11 00:00:00+00:00,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0.17266439281281173
2.87,2.95,2.96,2.8,106175.0,1.0571428571428572,0.9728813559322034,1.9322400000000002,5.21212,15.173944999999998,1.4853227342359125,0.5506396629394565,46.73044107219213,35.64434632656033,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,513767.3,0.20665970761471195,10.824756711180074,0.6843154313044504,-72.27053140096618,-69.50053134962806,-72.27053140096618,-69.50053134962806,43.152075171748145,19.861171219400017,-89.29027082413162,-37.435415844636424,-72.27053140096619,-0.9096702015883752,0.9964491723066242,12.595419847328246,ABOS,moon,26.83,2024-07-19 00:00:00+00:00,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0.18914000281403423
3.3,3.23,3.7,3.23,588560.0,1.1455108359133128,1.021671826625387,2.37424,4.84512,15.173944999999998,1.3899184581171238,0.681097681791163,46.73044107219213,38.65312507291501,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,491608.9,1.1972118486870356,10.824756711180074,0.6719747741850284,202.75229357798162,-52.6542324246772,202.75229357798162,-52.6542324246772,66.8800425626056,40.42596736605864,-89.29027082413162,-37.435415844636424,202.75229357798162,2.3335598903464057,0.8062976363287734,12.543554006968636,ABSI,moon,21.21,2024-07-08 00:00:00+00:00,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0.21747805201613687
4.98,4.87,5.02,4.77,118089.0,1.0524109014675052,1.02258726899384,3.2079999999999997,4.65812,15.173944999999998,1.5523690773067333,1.069100838965076,46.73044107219213,49.429821497535016,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,482251.0,0.24487040980734098,10.824756711180074,0.6780222897458249,513.9053254437871,-27.299270072992687,513.9053254437871,-27.299270072992687,93.53119175794865,67.85443649743412,-57.28155339805825,-16.043186391849762,513.905325443787,0.01686902609144924,0.7216412869133328,47.575757575757585,ACB,moon,22.89,2024-07-08 00:00:00+00:00,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0.3281941512243521
5.54,5.56,5.65,5.1,207177.0,1.107843137254902,0.9964028776978417,3.8619999999999997,4.29512,5.637413333333333,1.434489901605386,1.2898359067965506,41.10415171905602,52.66362576328964,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,351497.2,0.5894129455369772,1.7956285714285711,0.676744547528476,144.05286343612335,-39.585605234460196,144.05286343612335,-39.585605234460196,93.80896953572642,84.74006795209355,-51.55850792028616,0.7190114628505965,144.05286343612335,0.8725833129965563,0.17224092184735976,11.64658634538151,ACB,moon,26.71,2024-08-05 00:00:00+00:00,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.9827202073764327
5.84,6.0,6.0,5.66,207083.0,1.0600706713780919,0.9733333333333333,4.505999999999999,3.96712,5.650075,1.2960497114957836,1.472100667486741,42.01237485258416,54.482802021735786,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,337987.0,0.6126951628317066,1.7002265306122446,0.6751921093378126,122.90076335877859,-35.96491228070175,122.90076335877859,-35.96491228070175,96.74000401848504,94.6933884373867,-48.4925907000511,17.66684669108363,122.90076335877862,0.0504309098563972,0.18485012547263385,8.303249097472923,ACB,moon,20.21,2024-08-06 00:00:00+00:00,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1.0336145980363092
1.27,1.21,1.28,1.21,100548.0,1.0578512396694215,1.0495867768595042,4.186,3.05912,5.392423529411765,0.30339225991399904,0.4151520698763043,33.52994388854131,32.37240654845573,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,300296.3,0.3348293002611088,1.9094960641399414,0.7419079150792134,-55.74912891986064,-87.72946859903381,-55.74912891986064,-87.72946859903381,64.30642542333565,84.95179965918237,-95.19672968829842,-86.18365046131191,-55.749128919860624,-0.05299740993642571,0.47675701344755533,-79.28082191780823,ACRS,moon,21.26,2024-10-22 00:00:00+00:00,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.23551562540907067
1.72,1.62,1.87,1.59,226146.0,1.1761006289308176,1.0617283950617282,3.87,3.12212,5.1884,0.4444444444444444,0.550907716551574,34.92326071904111,35.384821054813294,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,192809.6,1.1728980299736111,1.8159606309870886,0.6572672799650352,-47.878787878787875,57.79816513761467,-47.878787878787875,57.79816513761467,35.63326374391094,65.55989772857721,-90.59785385794584,-65.24881102772426,-47.878787878787875,-0.6157638983281228,0.5001027061866833,27.559055118110244,ACRS,moon,22.09,2024-10-29 00:00:00+00:00,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.3315087502891065
14.83,15.66,15.805,14.79,720879.0,1.0686274509803921,0.9469987228607918,5.84,4.524,5.695852631578947,2.539383561643836,3.278072502210433,60.74170727317663,74.29792774565034,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,55.163610370123564,15.208209999999916,-21.537663539800516,0.5,197768.6,3.645062967528718,2.6923205859165824,2.4097747890555734,197.7911646586345,1728.155818540434,197.7911646586345,1728.155818540434,35.07314041400344,45.00427652708334,-6.497834055314893,221.8993417137379,197.7911646586345,5.1045397962553665,3.4646220654119575,810.4651162790697,ACVA,moon,21.65,2024-08-07 00:00:00+00:00,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,2.6036488229662953
2.55,2.69,2.69,2.535,114647.0,1.0611439842209072,0.9479553903345724,5.242,4.552,5.5385599999999995,0.4864555513162915,0.5601933216168717,43.380519595494896,44.80858685844268,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,13.066363238236239,5.53856,-1.989243238236237,0.30149853115048875,258243.5,0.4439492184701648,3.3782262583511122,2.456582252537367,-53.97111913357401,12.334801762114523,-53.97111913357401,12.334801762114523,37.71601269536117,36.14080561775852,-88.33722092635789,-39.56552177830056,-53.97111913357401,-0.4466229359436617,3.580487377910148,-81.86109238031018,ADCT,moon,23.92,2024-06-25 00:00:00+00:00,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.4604084816269933
2.69,2.59,2.755,2.465,120777.0,1.1176470588235294,1.0386100386100388,4.612,4.558999999999999,5.212559999999999,0.5832610581092801,0.5900416758060979,43.578513269909344,45.098421076900735,-1.6223384184017307,-1.1095519262957922,-0.17363262943279784,12.640189640309213,5.212560000000001,-2.2150696403092116,0.33019077941701286,258644.5,0.4669614084196648,3.15763866846889,2.4594302647557984,-53.93835616438356,2.6717557251908275,-53.93835616438356,2.6717557251908275,37.54710517300447,36.77875276078969,-87.40419860046651,-32.002404474596396,-53.93835616438356,-0.4167700873562774,3.5804229606060867,1.5686274509803935,ADCT,moon,37.92,2024-06-26 00:00:00+00:00,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5160612060100987
