ticker,start_date,end_date,days,return_pct,start_price,end_price,avg_volume,start_volume
SOXL,2024-08-07,2024-08-08,1,26.07,25.39,32.01,14299414,14378744
SOXL,2024-08-12,2024-08-15,3,27.42,31.29,39.87,8094292,7288361
